DUPLICATE	42.519	123.799	109.179	135.799	595	842	Times-Roman
CONFIRMATION	112.179	123.799	204.171	135.799	595	842	Times-Roman
CHINA	72.519	254.992	102.519	264.992	595	842	Courier
CONSTRUCTION	108.519	254.992	180.519	264.992	595	842	Courier
BANK	186.519	254.992	210.519	264.992	595	842	Courier
CORPORATION	216.519	254.992	282.519	264.992	595	842	Courier
NO	72.519	264.852	84.519	274.852	595	842	Courier
25	90.519	264.852	102.519	274.852	595	842	Courier
FINANCE	108.519	264.852	150.519	274.852	595	842	Courier
STREET	156.519	264.852	192.519	274.852	595	842	Courier
BEIJING	72.519	274.712	114.519	284.712	595	842	Courier
100032	120.519	274.712	156.519	284.712	595	842	Courier
CHINA	72.519	284.572	102.519	294.572	595	842	Courier
This	42.519	314.152	66.519	324.152	595	842	Courier
confirmation	72.519	314.152	144.519	324.152	595	842	Courier
is	150.519	314.152	162.519	324.152	595	842	Courier
a	168.519	314.152	174.519	324.152	595	842	Courier
duplicate.	180.519	314.152	240.519	324.152	595	842	Courier
The	246.519	314.152	264.519	324.152	595	842	Courier
original	270.519	314.152	318.519	324.152	595	842	Courier
was	324.519	314.152	342.519	324.152	595	842	Courier
sent	348.519	314.152	372.519	324.152	595	842	Courier
to	378.519	314.152	390.519	324.152	595	842	Courier
CHINA	72.519	324.012	102.519	334.012	595	842	Courier
CONSTRUCTION	108.519	324.012	180.519	334.012	595	842	Courier
BANK	186.519	324.012	210.519	334.012	595	842	Courier
CORPORATION	216.519	324.012	282.519	334.012	595	842	Courier
NO	72.519	343.732	84.519	353.732	595	842	Courier
25	90.519	343.732	102.519	353.732	595	842	Courier
FINANCE	108.519	343.732	150.519	353.732	595	842	Courier
STREET	156.519	343.732	192.519	353.732	595	842	Courier
BEIJING	72.519	353.592	114.519	363.592	595	842	Courier
100032	120.519	353.592	156.519	363.592	595	842	Courier
CHINA	72.519	363.452	102.519	373.452	595	842	Courier
NEW	72.519	393.032	90.519	403.032	595	842	Courier
Non-Deliverable	72.519	412.752	162.519	422.752	595	842	Courier
Forward	168.519	412.752	210.519	422.752	595	842	Courier
Transaction	216.519	412.752	282.519	422.752	595	842	Courier
Date:	378.519	412.752	408.519	422.752	595	842	Courier
22OCT2019	414.519	412.752	468.519	422.752	595	842	Courier
Arranged	42.519	432.472	90.519	442.472	595	842	Courier
by	96.519	432.472	108.519	442.472	595	842	Courier
:	114.519	432.472	120.519	442.472	595	842	Courier
REUTER	126.519	432.472	162.519	442.472	595	842	Courier
Our	72.519	452.192	90.519	462.192	595	842	Courier
ref:	96.519	452.192	120.519	462.192	595	842	Courier
NFW192958997	126.519	452.192	198.519	462.192	595	842	Courier
The	72.519	491.632	90.519	501.632	595	842	Courier
purpose	96.519	491.632	138.519	501.632	595	842	Courier
of	144.519	491.632	156.519	501.632	595	842	Courier
this	162.519	491.632	186.519	501.632	595	842	Courier
letter	192.519	491.632	228.519	501.632	595	842	Courier
agreement	234.519	491.632	288.519	501.632	595	842	Courier
(this	294.519	491.632	324.519	501.632	595	842	Courier
"Confirmation")	330.519	491.632	420.519	501.632	595	842	Courier
is	426.519	491.632	438.519	501.632	595	842	Courier
to	444.519	491.632	456.519	501.632	595	842	Courier
confirm	72.519	501.492	114.519	511.492	595	842	Courier
the	120.519	501.492	138.519	511.492	595	842	Courier
terms	144.519	501.492	174.519	511.492	595	842	Courier
and	180.519	501.492	198.519	511.492	595	842	Courier
conditions	204.519	501.492	264.519	511.492	595	842	Courier
of	270.519	501.492	282.519	511.492	595	842	Courier
the	288.519	501.492	306.519	511.492	595	842	Courier
above-referenced	312.519	501.492	408.519	511.492	595	842	Courier
Foreign	414.519	501.492	456.519	511.492	595	842	Courier
Exchange	72.519	511.352	120.519	521.352	595	842	Courier
Transaction	126.519	511.352	192.519	521.352	595	842	Courier
