As	54.519	112.726	66.519	122.726	595	842	Courier
of	72.519	112.726	84.519	122.726	595	842	Courier
the	90.519	112.726	108.519	122.726	595	842	Courier
date	114.519	112.726	138.519	122.726	595	842	Courier
first	144.519	112.726	174.519	122.726	595	842	Courier
above	180.519	112.726	210.519	122.726	595	842	Courier
written	216.519	112.726	258.519	122.726	595	842	Courier
By	54.519	122.586	66.519	132.586	595	842	Courier
CHINA	72.519	122.586	102.519	132.586	595	842	Courier
CONSTRUCTION	108.519	122.586	180.519	132.586	595	842	Courier
BANK	186.519	122.586	210.519	132.586	595	842	Courier
CORPORATION	216.519	122.586	282.519	132.586	595	842	Courier
Authorized	54.519	211.326	114.519	221.326	595	842	Courier
signature	120.519	211.326	174.519	221.326	595	842	Courier
Name:	54.519	221.186	84.519	231.186	595	842	Courier
Title:	54.519	231.046	90.519	241.046	595	842	Courier
REG	42.519	250.766	60.519	260.766	595	842	Courier
KEY:	66.519	250.766	90.519	260.766	595	842	Courier
1030444408EFX20191022HK180631MATZ7GSC	96.519	250.766	318.519	260.766	595	842	Courier
This	42.519	260.626	66.519	270.626	595	842	Courier
represents	72.519	260.626	132.519	270.626	595	842	Courier
the	138.519	260.626	156.519	270.626	595	842	Courier
unique	162.519	260.626	198.519	270.626	595	842	Courier
reference	204.519	260.626	258.519	270.626	595	842	Courier
for	264.519	260.626	282.519	270.626	595	842	Courier
the	288.519	260.626	306.519	270.626	595	842	Courier
Transaction	312.519	260.626	378.519	270.626	595	842	Courier
where	384.519	260.626	414.519	270.626	595	842	Courier
The	420.519	260.626	438.519	270.626	595	842	Courier
Hongkong	444.519	260.626	492.519	270.626	595	842	Courier
and	42.519	270.486	60.519	280.486	595	842	Courier
Shanghai	66.519	270.486	114.519	280.486	595	842	Courier
Banking	120.519	270.486	162.519	280.486	595	842	Courier
Corporation	168.519	270.486	234.519	280.486	595	842	Courier
Limited	240.519	270.486	282.519	280.486	595	842	Courier
has	288.519	270.486	306.519	280.486	595	842	Courier
an	312.519	270.486	324.519	280.486	595	842	Courier
obligation	330.519	270.486	390.519	280.486	595	842	Courier
under	396.519	270.486	426.519	280.486	595	842	Courier
the	432.519	270.486	450.519	280.486	595	842	Courier
applicable	42.519	280.346	102.519	290.346	595	842	Courier
laws,	108.519	280.346	138.519	290.346	595	842	Courier
rules	144.519	280.346	174.519	290.346	595	842	Courier
and	180.519	280.346	198.519	290.346	595	842	Courier
regulations	204.519	280.346	270.519	290.346	595	842	Courier
to	276.519	280.346	288.519	290.346	595	842	Courier
report	294.519	280.346	330.519	290.346	595	842	Courier
the	336.519	280.346	354.519	290.346	595	842	Courier
Transaction	360.519	280.346	426.519	290.346	595	842	Courier
to	432.519	280.346	444.519	290.346	595	842	Courier
the	450.519	280.346	468.519	290.346	595	842	Courier
relevant	42.519	290.206	90.519	300.206	595	842	Courier
regulator(s)	96.519	290.206	168.519	300.206	595	842	Courier
and	174.519	290.206	192.519	300.206	595	842	Courier
such	198.519	290.206	222.519	300.206	595	842	Courier
unique	228.519	290.206	264.519	300.206	595	842	Courier
reference	270.519	290.206	324.519	300.206	595	842	Courier
shall	330.519	290.206	360.519	300.206	595	842	Courier
be	366.519	290.206	378.519	300.206	595	842	Courier
the	384.519	290.206	402.519	300.206	595	842	Courier
only	408.519	290.206	432.519	300.206	595	842	Courier
reference	438.519	290.206	492.519	300.206	595	842	Courier
is	42.519	300.066	54.519	310.066	595	842	Courier
for	60.519	300.066	78.519	310.066	595	842	Courier
the	84.519	300.066	102.519	310.066	595	842	Courier
Transaction	108.519	300.066	174.519	310.066	595	842	Courier
for	180.519	300.066	198.519	310.066	595	842	Courier
such	204.519	300.066	228.519	310.066	595	842	Courier
reporting	234.519	300.066	288.519	310.066	595	842	Courier
purposes.	294.519	300.066	348.519	310.066	595	842	Courier
Each	360.519	300.066	384.519	310.066	595	842	Courier
party	390.519	300.066	420.519	310.066	595	842	Courier
agrees	426.519	300.066	462.519	310.066	595	842	Courier
that	468.519	300.066	492.519	310.066	595	842	Courier
it	42.519	309.926	54.519	319.926	595	842	Courier
is	60.519	309.926	72.519	319.926	595	842	Courier
responsible	78.519	309.926	144.519	319.926	595	842	Courier
for	150.519	309.926	168.519	319.926	595	842	Courier
making	174.519	309.926	210.519	319.926	595	842	Courier
its	216.519	309.926	234.519	319.926	595	842	Courier
own	240.519	309.926	258.519	319.926	595	842	Courier
determination	264.519	309.926	342.519	319.926	595	842	Courier
as	348.519	309.926	360.519	319.926	595	842	Courier
to	366.519	309.926	378.519	319.926	595	842	Courier
which	384.519	309.926	414.519	319.926	595	842	Courier
party	420.519	309.926	450.519	319.926	595	842	Courier
has	456.519	309.926	474.519	319.926	595	842	Courier
an	480.519	309.926	492.519	319.926	595	842	Courier
obligation	42.519	319.786	102.519	329.786	595	842	Courier
under	108.519	319.786	138.519	329.786	595	842	Courier
the	144.519	319.786	162.519	329.786	595	842	Courier
applicable	168.519	319.786	228.519	329.786	595	842	Courier
laws,	234.519	319.786	264.519	329.786	595	842	Courier
rules	270.519	319.786	300.519	329.786	595	842	Courier
and	306.519	319.786	324.519	329.786	595	842	Courier
regulations	330.519	319.786	396.519	329.786	595	842	Courier
